ID,Semana,Fase,Fechas,Responsable,Titulo,Detalle,Requerimientos,Modulo,Horas,Hito,Estado
S2-14,Semana 2 — Diseño y base,Diseño,21–27 sep 2026,Alex,Construir los componentes base en React,"Botón, Campo, Tarjeta, Modal, Tabla, Etiqueta y Aviso, cada uno con sus variantes. Se usarán en las once pantallas.",,,4,,Por hacer
S2-15,Semana 2 — Diseño y base,Diseño,21–27 sep 2026,Alex,Configurar el enrutado y el layout base,Con react-router. Navegación distinta según el rol de quien inicia sesión.,,,2,,Por hacer
S2-16,Semana 2 — Diseño y base,Diseño,21–27 sep 2026,Alex,Pantalla de inicio de sesión conectada al API,Con manejo visible del error de credenciales incorrectas.,RF-28,M8,2,,Por hacer
S2-17,Semana 2 — Diseño y base,Diseño,21–27 sep 2026,Alex,Protección de rutas por rol,Un mesero no debe poder abrir la pantalla de administración escribiendo la URL a mano.,RF-29,M8,1.5,,Por hacer
S2-18,Semana 2 — Diseño y base,Diseño,21–27 sep 2026,Alex,Prototipos de alta fidelidad: carta pública y toma de pedido,"Son las dos pantallas más visibles del sistema; conviene resolverlas en Figma antes de programarlas.",,,3,,Por hacer
S2-19,Semana 2 — Diseño y base,Diseño,21–27 sep 2026,Ambos,Primer pull request con revisión cruzada,"Ensayar el flujo completo de trabajo: rama, PR, comentarios, corrección y fusión. Que el primero sea de práctica y no bajo presión.",,,1,,Por hacer
S2-20,Semana 2 — Diseño y base,Diseño,21–27 sep 2026,Ambos,Hito interno: entorno funcionando en ambas máquinas,"Los dos deben poder clonar, levantar la base de datos, correr el API y el frontend, e iniciar sesión. Si no se cumple, no avancen.",,,1,Sí,Por hacer
S3-01,"Semana 3 — Carta (M1, M2)",Desarrollo,28 sep–4 oct 2026,José,Endpoints CRUD de categorías,Con baja lógica: nada se borra físicamente de la base de datos.,RF-01 RNF-10,M1,2,,Por hacer
S3-02,"Semana 3 — Carta (M1, M2)",Desarrollo,28 sep–4 oct 2026,José,Endpoints CRUD de platillos,"Nombre, descripción, precio, categoría, fotografía y tiempo estimado de preparación.",RF-02,M1,3,,Por hacer
S3-03,"Semana 3 — Carta (M1, M2)",Desarrollo,28 sep–4 oct 2026,José,Integrar la subida de imágenes a Cloudinary,"Con la alternativa de guardar en el propio servidor si el servicio falla, tal como se previó en el riesgo R-07.",RF-02,M1,2.5,,Por hacer
S3-04,"Semana 3 — Carta (M1, M2)",Desarrollo,28 sep–4 oct 2026,José,Alternar la disponibilidad de un platillo,El cambio debe reflejarse de inmediato en la carta pública.,RF-03,M1,1,,Por hacer
S3-05,"Semana 3 — Carta (M1, M2)",Desarrollo,28 sep–4 oct 2026,José,Historial automático de precios,"Al cambiar el precio, cerrar la vigencia del anterior y abrir la del nuevo. Un pedido guarda el precio del momento en que se hizo, nunca el actual.",RF-04,M1,2.5,,Por hacer
S3-06,"Semana 3 — Carta (M1, M2)",Desarrollo,28 sep–4 oct 2026,José,Orden de presentación de categorías y platillos,"Campo numérico de orden, editable desde la administración.",RF-05,M1,1,,Por hacer
S3-07,"Semana 3 — Carta (M1, M2)",Desarrollo,28 sep–4 oct 2026,José,Endpoint público de la carta,Sin autenticación. Devuelve solo los platillos activos y marca cuáles están agotados.,RF-06 RF-07,M2,2,,Por hacer
S3-08,"Semana 3 — Carta (M1, M2)",Desarrollo,28 sep–4 oct 2026,José,Búsqueda y filtro por categoría y nombre,,RF-08,M2,1.5,,Por hacer
S3-09,"Semana 3 — Carta (M1, M2)",Desarrollo,28 sep–4 oct 2026,José,Pruebas con Vitest del servicio de precios,El caso crítico: un pedido antiguo debe conservar el precio con el que se cobró aunque el platillo haya subido después.,RF-04,M1,2,,Por hacer
S3-10,"Semana 3 — Carta (M1, M2)",Desarrollo,28 sep–4 oct 2026,Alex,Pantalla de administración de categorías,"Listado, alta, edición y desactivación.",RF-01,M1,2.5,,Por hacer
S3-11,"Semana 3 — Carta (M1, M2)",Desarrollo,28 sep–4 oct 2026,Alex,Pantalla de administración de platillos,Formulario completo con vista previa de la imagen antes de guardar.,RF-02,M1,4,,Por hacer
S3-12,"Semana 3 — Carta (M1, M2)",Desarrollo,28 sep–4 oct 2026,Alex,Control de agotado con respuesta inmediata,Un interruptor por platillo que no obligue a recargar la página.,RF-03,M1,1.5,,Por hacer
S3-13,"Semana 3 — Carta (M1, M2)",Desarrollo,28 sep–4 oct 2026,Alex,Reordenamiento de categorías y platillos,,RF-05,M1,2,,Por hacer
S3-14,"Semana 3 — Carta (M1, M2)",Desarrollo,28 sep–4 oct 2026,Alex,Carta pública responsiva,"Verificar a 360 píxeles de ancho, que es el mínimo comprometido en el RNF-03. Es la pantalla que verá el comensal.",RF-06 RF-07 RNF-03,M2,4,,Por hacer
S3-15,"Semana 3 — Carta (M1, M2)",Desarrollo,28 sep–4 oct 2026,Alex,Filtro y buscador dentro de la carta pública,,RF-08,M2,2,,Por hacer
S3-16,"Semana 3 — Carta (M1, M2)",Desarrollo,28 sep–4 oct 2026,Alex,Estado de agotado visualmente inequívoco,"Deshabilitado y con etiqueta explícita, no solo en gris. Debe entenderse sin explicación.",RF-07,M2,1,,Por hacer
S3-17,"Semana 3 — Carta (M1, M2)",Desarrollo,28 sep–4 oct 2026,Alex,Probar la carta en un teléfono real,"No basta el simulador del navegador: hay que verla en un dispositivo físico, con la mano y a la luz del local.",RNF-02 RNF-03,,1,,Por hacer
S3-18,"Semana 3 — Carta (M1, M2)",Desarrollo,28 sep–4 oct 2026,Ambos,Revisión cruzada y cierre de RF-01 a RF-08,Cada uno prueba lo que hizo el otro y abre un issue por cada defecto encontrado.,,,2,,Por hacer
S4-01,"Semana 4 — Mesas (M3, M4)",Desarrollo,5–11 oct 2026,José,CRUD de mesas,"Número, capacidad y ubicación dentro del local.",RF-09,M3,2,,Por hacer
S4-02,"Semana 4 — Mesas (M3, M4)",Desarrollo,5–11 oct 2026,José,Generación del código QR por mesa,"Con la biblioteca qrcode, generando en el servidor un token único e irrepetible por mesa. Sin depender de ningún servicio externo.",RF-10,M3,2.5,,Por hacer
S4-03,"Semana 4 — Mesas (M3, M4)",Desarrollo,5–11 oct 2026,José,Endpoint de descarga de los códigos para impresión,"Una hoja con todos los códigos, cada uno rotulado con su número de mesa.",RF-10,M3,2,,Por hacer
S4-04,"Semana 4 — Mesas (M3, M4)",Desarrollo,5–11 oct 2026,José,Endpoint de estado del salón,Devuelve cada mesa con su estado actual y la hora en que se abrió.,RF-11 RF-12,M3,2,,Por hacer
S4-05,"Semana 4 — Mesas (M3, M4)",Desarrollo,5–11 oct 2026,José,Apertura de sesión de mesa con control de concurrencia,Bloqueo de fila con SELECT FOR UPDATE para cumplir el RNF-07. Es la parte técnicamente más delicada de todo el proyecto: dos meseros no pueden abrir la misma mesa a la vez.,RF-13 RNF-07,M4,3,,Por hacer
S4-06,"Semana 4 — Mesas (M3, M4)",Desarrollo,5–11 oct 2026,José,Prueba de concurrencia sobre la misma mesa,Lanzar dos peticiones simultáneas y comprobar que solo una gana. Guardar la evidencia: es material excelente para la defensa.,RNF-07,,2,,Por hacer
S4-07,"Semana 4 — Mesas (M3, M4)",Desarrollo,5–11 oct 2026,José,Agregar línea al pedido con cantidad y nota,"Guardando en la línea el precio vigente en ese momento, no una referencia al precio actual del platillo.",RF-14,M4,2.5,,Por hacer
S4-08,"Semana 4 — Mesas (M3, M4)",Desarrollo,5–11 oct 2026,Alex,Pantalla de administración de mesas,,RF-09,M3,2,,Por hacer
S4-09,"Semana 4 — Mesas (M3, M4)",Desarrollo,5–11 oct 2026,Alex,Vista de impresión de los códigos QR,"Formato de hoja carta, con líneas de corte y el número de mesa legible.",RF-10,M3,2,,Por hacer
S4-10,"Semana 4 — Mesas (M3, M4)",Desarrollo,5–11 oct 2026,Alex,Mapa del salón con estados por color,"Libre, ocupada, pedido en curso y pendiente de cobro. Debe leerse de un vistazo desde el otro extremo del local.",RF-11,M3,4,,Por hacer
S4-11,"Semana 4 — Mesas (M3, M4)",Desarrollo,5–11 oct 2026,Alex,Tiempo transcurrido de ocupación por mesa,Actualizado sin recargar la página. Es el dato que hoy nadie tiene.,RF-12,M3,1.5,,Por hacer
S4-12,"Semana 4 — Mesas (M3, M4)",Desarrollo,5–11 oct 2026,Alex,Pantalla de apertura de mesa,,RF-13,M4,1.5,,Por hacer
S4-13,"Semana 4 — Mesas (M3, M4)",Desarrollo,5–11 oct 2026,Alex,Arranque de la toma de pedido: catálogo y carrito,"Optimizada para teléfono, con botones grandes: el mesero la usa de pie y con una mano.",RF-14 RNF-03,M4,4,,Por hacer
S4-14,"Semana 4 — Mesas (M3, M4)",Desarrollo,5–11 oct 2026,Ambos,Revisión cruzada y cierre de RF-09 a RF-14,,,,2,,Por hacer
S5-01,"Semana 5 — Cocina (M4, M5)",Desarrollo,12–18 oct 2026,José,Modificar o eliminar línea solo si sigue pendiente,"Si la cocina ya empezó a prepararla, se bloquea. La regla vive en el servicio, no en la interfaz.",RF-15,M4,2,,Por hacer
S5-02,"Semana 5 — Cocina (M4, M5)",Desarrollo,12–18 oct 2026,José,Anulación de pedido con motivo y registro en bitácora,,RF-16 RF-30,M4,2,,Por hacer
S5-03,"Semana 5 — Cocina (M4, M5)",Desarrollo,12–18 oct 2026,José,Endpoint de comandas para la cocina,Agrupadas por mesa y ordenadas por antigüedad de la comanda.,RF-17,M5,2.5,,Por hacer
S5-04,"Semana 5 — Cocina (M4, M5)",Desarrollo,12–18 oct 2026,José,Endpoint ligero para la consulta periódica,"Se llama cada tres segundos, así que debe ser barato. Cumplir el RNF-05: menos de cinco segundos entre que el mesero confirma y la cocina lo ve.",RF-18 RNF-05,M5,2,,Por hacer
S5-05,"Semana 5 — Cocina (M4, M5)",Desarrollo,12–18 oct 2026,José,Cambio de estado por línea con validación de transiciones,"Rechazar las transiciones inválidas con un mensaje de error claro, no con un fallo genérico.",RF-19,M5,2.5,,Por hacer
S5-06,"Semana 5 — Cocina (M4, M5)",Desarrollo,12–18 oct 2026,José,Umbral de tiempo de espera configurable,Que el administrador defina a partir de cuántos minutos una comanda se considera atrasada.,RF-20,M5,1.5,,Por hacer
S5-07,"Semana 5 — Cocina (M4, M5)",Desarrollo,12–18 oct 2026,José,Pruebas con Vitest de las transiciones de estado,"Probar también las transiciones que deben fallar, no solo las que deben funcionar.",RF-19,M5,2,,Por hacer
S5-08,"Semana 5 — Cocina (M4, M5)",Desarrollo,12–18 oct 2026,Alex,Completar la toma de pedido,"Cantidades, notas de preparación por línea y confirmación del pedido.",RF-14,M4,3,,Por hacer
S5-09,"Semana 5 — Cocina (M4, M5)",Desarrollo,12–18 oct 2026,Alex,Modificación y eliminación de líneas con las reglas visibles,"Si una línea ya no se puede quitar, explicar por qué. No basta con deshabilitar el botón.",RF-15,M4,2,,Por hacer
S5-10,"Semana 5 — Cocina (M4, M5)",Desarrollo,12–18 oct 2026,Alex,Anulación de pedido con captura del motivo,,RF-16,M4,1.5,,Por hacer
S5-11,"Semana 5 — Cocina (M4, M5)",Desarrollo,12–18 oct 2026,Alex,Pantalla de cocina con tarjetas por mesa,"Ordenadas por antigüedad y pensadas para leerse a distancia en un monitor, no de cerca en una laptop.",RF-17,M5,4,,Por hacer
S5-12,"Semana 5 — Cocina (M4, M5)",Desarrollo,12–18 oct 2026,Alex,Consulta periódica cada tres segundos con indicador de frescura,Mostrar «actualizado hace X segundos» para que el cocinero confíe en lo que está viendo.,RF-18,M5,2,,Por hacer
S5-13,"Semana 5 — Cocina (M4, M5)",Desarrollo,12–18 oct 2026,Alex,Resaltado visual de las comandas atrasadas,Según el umbral configurado por el administrador.,RF-20,M5,1.5,,Por hacer
S5-14,"Semana 5 — Cocina (M4, M5)",Desarrollo,12–18 oct 2026,Alex,Probar la pantalla de cocina en un monitor grande o tablet,,RF-17 RNF-02,M5,1,,Por hacer
S5-15,"Semana 5 — Cocina (M4, M5)",Desarrollo,12–18 oct 2026,Ambos,Prueba de integración del flujo completo,"Recorrer de punta a punta: abrir mesa, escanear el QR, pedir, ver la comanda en cocina y marcarla lista. Anotar cada defecto. Esta prueba define si llegan al Entregable 2.",,,3,Sí,Por hacer
S6-01,Semana 6 — Entregable 2 (75 %),Integración,19–25 oct 2026,José,Cálculo del total con el precio vigente de cada línea,,RF-21,M6,2,,Por hacer
S6-02,Semana 6 — Entregable 2 (75 %),Integración,19–25 oct 2026,José,División de cuenta por partes iguales y por líneas,"Cuidado con los centavos: la suma de las partes tiene que dar exactamente el total, sin un centavo de diferencia.",RF-22,M6,3,,Por hacer
S6-03,Semana 6 — Entregable 2 (75 %),Integración,19–25 oct 2026,José,Cierre de cuenta y liberación de mesa en una sola transacción,"Si algo falla a mitad, la mesa no puede quedar en un estado intermedio.",RF-23,M6,2.5,,Por hacer
S6-04,Semana 6 — Entregable 2 (75 %),Integración,19–25 oct 2026,José,Corte de caja por turno con desglose por forma de pago,,RF-24,M6,2.5,,Por hacer
S6-05,Semana 6 — Entregable 2 (75 %),Integración,19–25 oct 2026,José,Repasar que toda eliminación sea lógica,Revisar los servicios ya escritos y corregir cualquiera que borre físicamente. El RNF-10 lo exige y es fácil que se haya colado alguno.,RNF-10,,1.5,,Por hacer
S6-06,Semana 6 — Entregable 2 (75 %),Integración,19–25 oct 2026,Alex,Pantalla de cobro con resumen de la cuenta,,RF-21,M6,3,,Por hacer
S6-07,Semana 6 — Entregable 2 (75 %),Integración,19–25 oct 2026,Alex,Interfaz de división de cuenta,La interacción más difícil de la semana. Conviene prototiparla en Figma antes de programarla.,RF-22,M6,3.5,,Por hacer
S6-08,Semana 6 — Entregable 2 (75 %),Integración,19–25 oct 2026,Alex,Comprobante interno imprimible,Debe decir explícitamente que no es un documento tributario: la emisión de DTE está fuera del alcance y conviene que se vea.,RF-23,M6,2,,Por hacer
S6-09,Semana 6 — Entregable 2 (75 %),Integración,19–25 oct 2026,Alex,Pantalla de corte de caja,,RF-24,M6,2,,Por hacer
S6-10,Semana 6 — Entregable 2 (75 %),Integración,19–25 oct 2026,Ambos,Congelar el código el miércoles,"A partir de ese momento solo se corrigen defectos. Nada nuevo entra, por pequeño que parezca.",,,0.25,Sí,Por hacer
S6-11,Semana 6 — Entregable 2 (75 %),Integración,19–25 oct 2026,Ambos,Jornada de corrección de defectos,"Priorizar los que rompen el recorrido de la demostración; el resto puede esperar a la semana 7.",,,4,,Por hacer
S6-12,Semana 6 — Entregable 2 (75 %),Integración,19–25 oct 2026,Ambos,Cargar datos de demostración realistas,"El restaurante ficticio con su menú creíble, algunas mesas ocupadas y comandas en curso. Un sistema vacío no se demuestra bien.",,,1.5,,Por hacer
S6-13,Semana 6 — Entregable 2 (75 %),Integración,19–25 oct 2026,Ambos,Escribir el guion de la demostración de siete minutos,"Quién habla en qué momento, qué pantalla se muestra y en qué orden.",,,1.5,,Por hacer
S6-14,Semana 6 — Entregable 2 (75 %),Integración,19–25 oct 2026,Ambos,Ensayar la demostración dos veces completas y cronometradas,,,,1.5,,Por hacer
S6-15,Semana 6 — Entregable 2 (75 %),Integración,19–25 oct 2026,José,Redactar el documento de avance del Entregable 2,"Qué se entrega, evidencia de cada RF cumplido, qué queda pendiente y por qué.",,,2.5,,Por hacer
S6-16,Semana 6 — Entregable 2 (75 %),Integración,19–25 oct 2026,Ambos,ENTREGABLE 2 — Demostración del 75 % ante el docente,Los dieciocho requerimientos de prioridad alta funcionando y el ciclo completo de una mesa recorrido de principio a fin.,,,1,Sí,Por hacer
S7-01,Semana 7 — Reportes (M7),Desarrollo,26 oct–1 nov 2026,Ambos,Corregir lo que haya señalado el docente,"Antes que cualquier funcionalidad nueva. Lo que se observa en el Entregable 2 y no se corrige, reaparece en la defensa final.",,,3,,Por hacer
S7-02,Semana 7 — Reportes (M7),Desarrollo,26 oct–1 nov 2026,José,Reporte de ventas por rango de fechas,Total facturado y número de cuentas atendidas en el período.,RF-25,M7,2.5,,Por hacer
S7-03,Semana 7 — Reportes (M7),Desarrollo,26 oct–1 nov 2026,José,Ranking de platillos más y menos vendidos,,RF-26,M7,2,,Por hacer
S7-04,Semana 7 — Reportes (M7),Desarrollo,26 oct–1 nov 2026,José,Distribución de ventas por franja horaria y día de la semana,,RF-27,M7,2.5,,Por hacer
S7-05,Semana 7 — Reportes (M7),Desarrollo,26 oct–1 nov 2026,José,Crear los índices de base de datos para las consultas de reporte,,RNF-04,,2,,Por hacer
S7-06,Semana 7 — Reportes (M7),Desarrollo,26 oct–1 nov 2026,José,Generar cinco mil pedidos de prueba y medir tiempos,Un script que puebla la base y cronometra las consultas. Es la evidencia directa del RNF-04: menos de dos segundos con ese volumen.,RNF-04,,2,,Por hacer
S7-07,Semana 7 — Reportes (M7),Desarrollo,26 oct–1 nov 2026,José,Documentar el API con especificación OpenAPI,,RNF-09,,3,,Por hacer
S7-08,Semana 7 — Reportes (M7),Desarrollo,26 oct–1 nov 2026,Alex,Pantalla de reportes con gráficas,Barras para el ranking de platillos y una vista por hora para la distribución de la demanda.,RF-25 RF-26 RF-27,M7,4,,Por hacer
S7-09,Semana 7 — Reportes (M7),Desarrollo,26 oct–1 nov 2026,Alex,Exportación de los reportes a CSV,,RF-25,M7,1.5,,Por hacer
S7-10,Semana 7 — Reportes (M7),Desarrollo,26 oct–1 nov 2026,Alex,Pasada de refinamiento visual sobre las once pantallas,"Espaciados, alineaciones, estados vacíos y mensajes de error. Los estados vacíos casi siempre se olvidan y se notan justo durante la defensa.",,,4,,Por hacer
S7-11,Semana 7 — Reportes (M7),Desarrollo,26 oct–1 nov 2026,Alex,Prueba de usabilidad del RNF-01 con tres personas ajenas,Quince minutos de inducción y luego cronometrar cuánto tardan en registrar un pedido. La meta comprometida es menos de tres minutos. Anotar los tiempos.,RNF-01,,3,Sí,Por hacer
S7-12,Semana 7 — Reportes (M7),Desarrollo,26 oct–1 nov 2026,Ambos,Aplicar los ajustes que revele la prueba de usabilidad,"Si alguien tardó más de tres minutos, hay algo concreto que corregir. No se negocia el número: está en el documento.",RNF-01,,3,,Por hacer
S8-01,Semana 8 — Entregable 3,Cierre,2–8 nov 2026,José,Desplegar el API y la base de datos,"En Render o Railway, con la base de datos gestionada.",,,3,,Por hacer
